message,"my^a~told^sent~have^they~i^""~until^.~eat^him~not^to~will^did~i^we~""^which~,^evil~said^the~he^of~but^all~,^for~eat^back~to^us~him^pay~before^fully"
ephron,"to^now^.^""^of^from~me^""^heth^spoke^.^listened^weighed^field^,~for^.^of^he^there^abraham^the^site~entreat^place^children^.^dead^""^so^in^with^burial~and^-^the^land^my^.^ephron^,^is^bought^a~,^burying^of^the^bury^dead^to^standard^machpelah^that^abraham~me^a^middle^of^will^your^listened^merchants'^cave^which^possession~hear^of^the^people^i^bury^abraham^current^cave^,^a~,^possession^in^the^and^therefore^""^canaan^for~sight^a^sitting^before^,^?^.^to^in^fathers^of~my^for^was^down^me^you^dead^according^him^land^field~of^you^ephron^himself^from^and^your^,^buried^with^the~out^among^now^bowed^it^me^bury^silver^,^in^with~dead^me^""^abraham^take^between^therefore^of^sons^bury^,^bought~my^to^.^""^silver^?^shekels^his^mamre^abraham~bury^it^place^.^field^of^you^hundred^,^people^before^which~should^give^-^dead^the^shekels^and^four^ishmael^my^is^,~i^him^burying^your^of^hundred^me^,^and^to^which^machpelah~that^let^a^bury^price^four^between^heth^isaac^gathered^,^of"
sixth,"a~,^bore~morning^and~was^,~there^again~and^conceived~evening^leah~was^.~there^issachar~.^him~good^named~very^she~was^""~it^.~,^husband~behold^my~,^to~and^handmaid~,^my"
machpelah,"of^in~cave^was^field~the^which~me^,^of^in~give^ephron^cave^him^is~may^of^the^buried^that~he^field^in^,^cave~that^the^wife^sons^him~,^so^his^in^buried~zohar^.^sarah^,^and~of^standard^buried^ishmael^hittite^,~son^merchants'^abraham^and^the^canaan~the^current^,^isaac^ephron^of~ephron^the^this^.^of^land~to^after^people^field^the~me^according^.^his^the^into~for^,^city^to^in^him~entreat^silver^his^gathered^is^carried~and^of^was^that^sons"
ephrath,"to~come^way~to^the~distance^in~some^buried^there~still^was^her~was^and^buried~there^,^i~.^died^when^and~bethel^rachel^,~from^.^way^ephrath~traveled^benjamin^the^to~they^him^in^come~""^named^canaan^to~.^father^of^distance~bethel^his^land^some~""^but^the^still~him^,^in^was~with^benoni^me^there"
proceeds,"thing~the~""~,~answered~bethuel~and~laban~then~""~.~left~the~to~or~,~hand~right~the"
position,his~to~cupbearer~chief~the~restored~he~.~servants~his~among~baker~chief~the~of~head~the~and~cupbearer
scarlet,"a^the~tied^had~and^that~took^,~midwife^out~the^came~and^brother~,^his~hand^afterward~a^.~out^perez~put^called~one^was~,^name~travailed^his~she^therefore~when^""~.^?~womb^yourself"
require,"surely^will^you~will^i~i^animal^,^hand~.^every^brother^my~eat^of^man's^from~not^hand^every^.~shall^the^of^him~you^at^hand^for~,^.^the^collateral~blood^lives^at^be~its^your^even^i'll~,^of^.~life^blood^man^ones~its^your^of^little~with^require^hand^our~flesh^surely^the^also~but^will^at^and~.^i^,~you^.^it"
ourselves,"build^make^bow^concerning^clear~let's^to^directly^we~,^and^come^asked^will~come^,^indeed^man^how~""^sky^brothers^the^or~,^the^your^""^?~said^to^and^,^speak~they^reaches^mother^said^we~.^top^your^they^will~mortar^whose^and^""^what~for^tower^i^?~tar^a^will^brother^lord~used^and^?^another^my~they^,^dreamed^had^tell~and^city^have^you^we~,^a^you^that^will~stone^ourselves^that^man^what~for^build^dream^the^""~brick^let's^this^telling^,"
attack,",~us~against~occasion~seek~may~he~that~;~in~brought~we're~,~time~first~the~at~sacks~our"
el,"it^place^beth~called^the^el~and^called^place~,^and^the~there^,^called~altar^there^and~an^altar^,~erected^an^there~he^built^altar~.^he^an~money^.^built~of^him^he~pieces^with^.~hundred^were^him~one^who^with~for^people^were~,^the^who~father^all^people~shechem's^and^the"
chiefs,"the^their~are^to^of~these^according^names~.^:^and^,^the~korah^amalek^mizzah^,^dishan^aran^horites^are^iram~and^chief^)^the^these~,^edom^uz^and^of^.~jalam^gatam^shammah^,^ezer^:^came^mezahab~,^chief^is^dishan^ezer^who^of^magdiel~jeush^,^that^dishon^of^chief^chiefs^daughter~esau^korah^zerah^jeush^(^,^children^the~to^chief^esau^anah^the^dishon^are^,^mibzar~bore^,^:^of^are^chief^these^matred~she^kenaz^nahath^wife^sons^zibeon^these^,^:^of~:^chief^esau's^the^,^.^anah^dishan^daughter^teman~wife^,^:^are^shobal^akan^chief^the~esau's^zepho^son^oholibamah^these^,^and~,^chief^esau's^of^.^lotan^zibeon^mehetabel^kenaz~zibeon^,^sons^wife^:^zaavan^chief^ezer^was"
